Ano;Cod;Área;Grau_academico;Cod_IES;Nome_IES;Sigla_IES;Organização;Cat_adm;Cód_curso;Mod_Ensino;Cód_Municipio;Município;Sigla_UF;Concluintes_inscritos;Concluintes_participantes;Enade_faixa
2021;2501;Art Visuais;Licenciatura;634;Universidade Federal De Pelotas;UFPEL;Universidade;Pública (Fed);31978;Educação Presencial;4314407;Pelotas;RS;44;41;3
2021;2501;Art Visuais;Licenciatura;665;Universidade De Taubaté;UNITAU;Universidade;Pública (Mun);1152588;Educação a Distância;3554102;Taubaté;SP;21;15;3
2021;2501;Art Visuais;Licenciatura;665;Universidade De Taubaté;UNITAU;Universidade;Pública (Mun);1321343;Educação a Distância;3554102;Taubaté;SP;12;8;5
2021;2501;Art Visuais;Licenciatura;671;Universidade Anhanguera;UNIDERP;Universidade;Privada (C.L);1404178;Educação a Distância;5002704;Campo Grande;MS;12;10;2
2021;2501;Art Visuais;Licenciatura;694;Universidade Federal De Mato Grosso Do Sul;UFMS;Universidade;Pública (Fed);36348;Educação Presencial;5002704;Campo Grande;MS;18;17;4
2021;2501;Art Visuais;Licenciatura;699;Fundação Universidade Federal De Rondônia;UNIR;Universidade;Pública (Fed);123567;Educação Presencial;1100205;Porto Velho;RO;9;8;2
2021;2501;Art Visuais;Licenciatura;719;Universidade Do Estado De Mato Grosso Carlos Alberto Reyes Maldonado - Unemat;UNEMAT;Universidade;Pública (Est);1404229;Educação a Distância;5102504;Cáceres;MT;21;18;2
2021;2501;Art Visuais;Licenciatura;730;Universidade Estadual De Ponta Grossa;UEPG;Universidade;Pública (Est);63886;Educação Presencial;4119905;Ponta Grossa;PR;27;18;4
2021;2501;Art Visuais;Licenciatura;746;Universidade Regional Do Cariri;URCA;Universidade;Pública (Est);1154848;Educação Presencial;2307304;Juazeiro do Norte;CE;35;29;3
2021;2501;Art Visuais;Licenciatura;789;Universidade Federal De Roraima;UFRR;Universidade;Pública (Fed);1156313;Educação Presencial;1400100;Boa Vista;RR;9;9;2
2021;2501;Art Visuais;Licenciatura;830;Universidade Federal Do Amapá;UNIFAP;Universidade;Pública (Fed);102702;Educação Presencial;1600303;Macapá;AP;58;34;3
2021;2501;Art Visuais;Licenciatura;953;Universidade Metropolitana De Santos;UNIMES;Universidade;Privada (S.L);100738;Educação a Distância;3548500;Santos;SP;62;50;2
2021;2501;Art Visuais;Licenciatura;1036;Universidade Do Estado De Minas Gerais;UEMG;Universidade;Pública (Est);39550;Educação Presencial;3106200;Belo Horizonte;MG;26;12;4
2021;2501;Art Visuais;Licenciatura;1036;Universidade Do Estado De Minas Gerais;UEMG;Universidade;Pública (Est);84006;Educação Presencial;3106200;Belo Horizonte;MG;25;18;4
2021;2501;Art Visuais;Licenciatura;1430;Centro Universitário Ingá;UNINGÁ;Centro Universitário;Privada (C.L);1427707;Educação a Distância;4115200;Maringá;PR;21;20;3
2021;2501;Art Visuais;Licenciatura;1472;Centro Universitário Leonardo Da Vinci;UNIASSELVI;Centro Universitário;Privada (C.L);111734;Educação a Distância;4207502;Indaial;SC;247;174;2
2021;2501;Art Visuais;Licenciatura;1491;Centro Universitário Internacional;UNINTER;Centro Universitário;Privada (C.L);1333079;Educação a Distância;4106902;Curitiba;PR;736;538;2
2021;2501;Art Visuais;Licenciatura;1788;Faculdade De Administração E Artes De Limeira;FAAL;Faculdade;Privada (C.L);99238;Educação Presencial;3526902;Limeira;SP;23;19;3
2021;2501;Art Visuais;Licenciatura;1807;Instituto Federal De Educação, Ciência E Tecnologia Do Ceará;IFCE;Instituto Federal de Educação, Ciência e Tecnologia;Pública (Fed);120080;Educação Presencial;2304400;Fortaleza;CE;29;16;4
2021;2501;Art Visuais;Licenciatura;1811;Instituto Federal De Educação, Ciência E Tecnologia De Goiás;IFG;Instituto Federal de Educação, Ciência e Tecnologia;Pública (Fed);1314353;Educação Presencial;5208905;Goiás;GO;11;8;2
2021;2501;Art Visuais;Licenciatura;1908;Escola De Ensino Superior Fabra;FABRA;Faculdade;Privada (S.L);1284746;Educação Presencial;3205002;Serra;ES;4;3;2
2021;2501;Art Visuais;Licenciatura;3151;Universidade Comunitária Da Região De Chapecó;UNOCHAPECÓ;Universidade;Privada (S.L);70694;Educação Presencial;4204202;Chapecó;SC;15;13;4
2021;2501;Art Visuais;Licenciatura;3294;Centro Universitário Faveni;UNIFAVENI;Centro Universitário;Privada (C.L);1501312;Educação a Distância;3518800;Guarulhos;SP;36;19;1
2021;2501;Art Visuais;Licenciatura;3984;Fundação Universidade Federal Do Vale Do São Francisco;UNIVASF;Universidade;Pública (Fed);116962;Educação Presencial;2918407;Juazeiro;BA;26;19;4
2021;2501;Art Visuais;Licenciatura;14724;Instituto Federal De Educação, Ciência E Tecnologia Do Paraná;IFPR;Instituto Federal de Educação, Ciência e Tecnologia;Pública (Fed);120114;Educação Presencial;4117602;Palmas;PR;20;14;2
2021;2501;Art Visuais;Licenciatura;18492;Universidade Estadual Do Paraná;UNESPAR;Universidade;Pública (Est);70536;Educação Presencial;4106902;Curitiba;PR;54;45;4
2021;2501;Art Visuais;Licenciatura;18492;Universidade Estadual Do Paraná;UNESPAR;Universidade;Pública (Est);1155133;Educação Presencial;4106902;Curitiba;PR;23;15;4
2021;2501;Art Visuais;Licenciatura;18506;Universidade Federal Do Oeste Da Bahia;UFOB;Universidade;Pública (Fed);1276412;Educação Presencial;2928109;Santa Maria da Vitória;BA;30;26;2
2021;4004;Ciências Comp;Bacharelado;1;Universidade Federal De Mato Grosso;UFMT;Universidade;Pública (Fed);36;Educação Presencial;5103403;Cuiabá;MT;41;36;3
2021;4004;Ciências Comp;Bacharelado;1;Universidade Federal De Mato Grosso;UFMT;Universidade;Pública (Fed);112846;Educação Presencial;5101803;Barra do Garças;MT;23;19;3
2021;4004;Ciências Comp;Bacharelado;2;Universidade De Brasília;UNB;Universidade;Pública (Fed);127;Educação Presencial;5300108;Brasília;DF;112;85;4
2021;4005;Ciências Comp;Licenciatura;2;Universidade De Brasília;UNB;Universidade;Pública (Fed);18032;Educação Presencial;5300108;Brasília;DF;60;39;5
2021;4004;Ciências Comp;Bacharelado;3;Universidade Federal De Sergipe;UFS;Universidade;Pública (Fed);317;Educação Presencial;2806701;São Cristóvão;SE;99;82;4
2021;4004;Ciências Comp;Bacharelado;4;Universidade Federal Do Amazonas;UFAM;Universidade;Pública (Fed);62484;Educação Presencial;1302603;Manaus;AM;52;44;4
2021;4004;Ciências Comp;Bacharelado;5;Universidade Federal Do Piauí;UFPI;Universidade;Pública (Fed);513;Educação Presencial;2211001;Teresina;PI;57;45;4
2021;4005;Ciências Comp;Licenciatura;5;Universidade Federal Do Piauí;UFPI;Universidade;Pública (Fed);1305552;Educação a Distância;2211001;Teresina;PI;72;33;2
2021;4004;Ciências Comp;Bacharelado;6;Universidade Federal De Ouro Preto;UFOP;Universidade;Pública (Fed);594;Educação Presencial;3146107;Ouro Preto;MG;47;43;4
2021;4004;Ciências Comp;Bacharelado;7;Universidade Federal De São Carlos;UFSCAR;Universidade;Pública (Fed);614;Educação Presencial;3548906;São Carlos;SP;87;79;4
2021;4004;Ciências Comp;Bacharelado;7;Universidade Federal De São Carlos;UFSCAR;Universidade;Pública (Fed);112680;Educação Presencial;3552205;Sorocaba;SP;61;54;5
2021;4004;Ciências Comp;Bacharelado;8;Universidade Federal De Viçosa;UFV;Universidade;Pública (Fed);703;Educação Presencial;3171303;Viçosa;MG;35;32;5
2021;4004;Ciências Comp;Bacharelado;8;Universidade Federal De Viçosa;UFV;Universidade;Pública (Fed);1161839;Educação Presencial;3126000;Florestal;MG;31;30;4
2021;4004;Ciências Comp;Bacharelado;9;Universidade Estadual De Londrina;UEL;Universidade;Pública (Est);778;Educação Presencial;4113700;Londrina;PR;29;24;4
2021;4005;Ciências Comp;Licenciatura;9;Universidade Estadual De Londrina;UEL;Universidade;Pública (Est);1343863;Educação a Distância;4113700;Londrina;PR;71;63;3
2021;4004;Ciências Comp;Bacharelado;10;Pontifícia Universidade Católica Do Paraná;PUCPR;Universidade;Privada (S.L);865;Educação Presencial;4106902;Curitiba;PR;44;36;3
2021;4004;Ciências Comp;Bacharelado;11;Universidade Católica De Pernambuco;UNICAP;Universidade;Privada (S.L);968;Educação Presencial;2611606;Recife;PE;86;75;3
2021;4004;Ciências Comp;Bacharelado;13;Universidade De Caxias Do Sul;UCS;Universidade;Privada (S.L);1110;Educação Presencial;4305108;Caxias do Sul;RS;44;39;4
2021;4004;Ciências Comp;Bacharelado;13;Universidade De Caxias Do Sul;UCS;Universidade;Privada (S.L);1257566;Educação Presencial;4302105;Bento Gonçalves;RS;22;22;3
2021;4004;Ciências Comp;Bacharelado;14;Universidade Do Vale Do Rio Dos Sinos;UNISINOS;Universidade;Privada (S.L);57702;Educação Presencial;4318705;São Leopoldo;RS;72;63;3
2021;4004;Ciências Comp;Bacharelado;14;Universidade Do Vale Do Rio Dos Sinos;UNISINOS;Universidade;Privada (S.L);1332183;Educação Presencial;4314902;Porto Alegre;RS;5;2;4
2021;4004;Ciências Comp;Bacharelado;17;Universidade Federal De Uberlândia;UFU;Universidade;Pública (Fed);1452;Educação Presencial;3170206;Uberlândia;MG;93;76;4
2021;4004;Ciências Comp;Bacharelado;20;Universidade De Passo Fundo;UPF;Universidade;Privada (S.L);1721;Educação Presencial;4314100;Passo Fundo;RS;25;16;4
2021;4004;Ciências Comp;Bacharelado;21;Pontifícia Universidade Católica Do Rio Grande Do Sul;PUCRS;Universidade;Privada (S.L);1904;Educação Presencial;4314902;Porto Alegre;RS;56;50;4
2021;4004;Ciências Comp;Bacharelado;22;Universidade Presbiteriana Mackenzie;MACKENZIE;Universidade;Privada (S.L);18974;Educação Presencial;3550308;São Paulo;SP;114;98;3
2021;4004;Ciências Comp;Bacharelado;23;Universidade Feevale;FEEVALE;Universidade;Privada (S.L);2090;Educação Presencial;4313409;Novo Hamburgo;RS;42;29;3
2021;4004;Ciências Comp;Bacharelado;24;Universidade Estadual De Santa Cruz;UESC;Universidade;Pública (Est);20239;Educação Presencial;2913606;Ilhéus;BA;44;24;4
2021;4004;Ciências Comp;Bacharelado;27;Centro Universitário Vale Do Rio Verde;;Universidade;Privada (S.L);20812;Educação Presencial;3169307;Três Corações;MG;20;20;2
2021;4004;Ciências Comp;Bacharelado;29;Universidade Estadual Do Ceará;UECE;Universidade;Pública (Est);2209;Educação Presencial;2304400;Fortaleza;CE;94;67;3
2021;4005;Ciências Comp;Licenciatura;29;Universidade Estadual Do Ceará;UECE;Universidade;Pública (Est);1332960;Educação a Distância;2304400;Fortaleza;CE;36;20;3
2021;4004;Ciências Comp;Bacharelado;30;Universidade José Do Rosário Vellano;UNIFENAS;Universidade;Privada (S.L);2310;Educação Presencial;3101607;Alfenas;MG;25;23;3
2021;4005;Ciências Comp;Licenciatura;40;Universidade Do Estado Da Bahia;UNEB;Universidade;Pública (Est);1184491;Educação a Distância;2927408;Salvador;BA;37;34;2
2021;4004;Ciências Comp;Bacharelado;43;Fundação Universidade Do Estado De Santa Catarina;UDESC;Universidade;Pública (Est);54520;Educação Presencial;4209102;Joinville;SC;51;45;4
2021;4005;Ciências Comp;Licenciatura;47;Universidade Estadual De Goiás;UEG;Universidade;Pública (Est);5001162;Educação a Distância;5201108;Anápolis;GO;25;20;2
2021;4004;Ciências Comp;Bacharelado;54;Universidade Estadual De Campinas;UNICAMP;Universidade;Pública (Est);2717;Educação Presencial;3509502;Campinas;SP;43;34;5
2021;4004;Ciências Comp;Bacharelado;56;Universidade Estadual Paulista Júlio De Mesquita Filho;UNESP;Universidade;Pública (Est);3190;Educação Presencial;3549805;São José do Rio Preto;SP;37;34;4
2021;4004;Ciências Comp;Bacharelado;56;Universidade Estadual Paulista Júlio De Mesquita Filho;UNESP;Universidade;Pública (Est);3197;Educação Presencial;3506003;Bauru;SP;28;26;5
